x_deg,y_deg,z_deg,n_frames,mean_opt_loss,median_opt_loss,std_opt_loss,mean_init_loss
90.0,45.0,135.0,73,0.006558694876730442,0.006123824045062065,0.002319118706509471,0.012973062694072723
-45.0,0.0,-90.0,73,0.0066154650412499905,0.006790681276470423,0.0014609688660129905,0.012981665320694447
135.0,-180.0,90.0,73,0.0066154650412499905,0.006790681276470423,0.0014609688660129905,0.012981665320694447
135.0,180.0,90.0,73,0.0066154650412499905,0.006790681276470423,0.0014609688660129905,0.012981665320694447
-135.0,135.0,-135.0,73,0.006646651774644852,0.006070676725357771,0.0021134812850505114,0.010889127850532532
45.0,45.0,45.0,73,0.006646651774644852,0.006070676725357771,0.0021134812850505114,0.010889127850532532
-90.0,0.0,-90.0,73,0.007223513908684254,0.007496976759284735,0.0015759714879095554,0.013942952267825603
90.0,-180.0,90.0,73,0.007223513908684254,0.007496976759284735,0.0015759714879095554,0.013942952267825603
90.0,180.0,90.0,73,0.007223513908684254,0.007496976759284735,0.0015759714879095554,0.013942952267825603
-135.0,45.0,-45.0,73,0.007255525793880224,0.007592618465423584,0.0017745920922607183,0.011013329960405827
45.0,135.0,135.0,73,0.007255525793880224,0.007592618465423584,0.0017745920922607183,0.011013329960405827
-45.0,45.0,-135.0,73,0.007265265565365553,0.007594385650008917,0.0016746390610933304,0.007966911420226097
135.0,135.0,45.0,73,0.007265265565365553,0.007594385650008917,0.0016746390610933304,0.007966911420226097
-45.0,135.0,-45.0,73,0.0072671654634177685,0.007120683789253235,0.0024752512108534575,0.011320979334414005
135.0,45.0,135.0,73,0.0072671654634177685,0.007120683789253235,0.0024752512108534575,0.011320979334414005
-90.0,-180.0,45.0,73,0.007270859554409981,0.007250675465911627,0.001851400127634406,0.011404932476580143
-90.0,180.0,45.0,73,0.007270859554409981,0.007250675465911627,0.001851400127634406,0.011404932476580143
90.0,0.0,-135.0,73,0.007270859554409981,0.007250675465911627,0.001851400127634406,0.011404932476580143
-90.0,-180.0,135.0,73,0.007488483563065529,0.007846868596971035,0.0027875141240656376,0.008998219855129719
-90.0,180.0,135.0,73,0.007488483563065529,0.007846868596971035,0.0027875141240656376,0.008998219855129719
90.0,0.0,-45.0,73,0.007488483563065529,0.007846868596971035,0.0027875141240656376,0.008998219855129719
-180.0,45.0,-45.0,73,0.007628174033015966,0.0080252131447196,0.0018891207873821259,0.011013451963663101
0.0,135.0,135.0,73,0.007628174033015966,0.0080252131447196,0.0018891207873821259,0.011013451963663101
180.0,45.0,-45.0,73,0.007628174033015966,0.0080252131447196,0.0018891207873821259,0.011013451963663101
-135.0,0.0,-135.0,73,0.0076732817105948925,0.008333521895110607,0.002642639447003603,0.01328364759683609
45.0,-180.0,45.0,73,0.0076732817105948925,0.008333521895110607,0.002642639447003603,0.01328364759683609
45.0,180.0,45.0,73,0.0076732817105948925,0.008333521895110607,0.002642639447003603,0.01328364759683609
-135.0,135.0,-90.0,73,0.007790966425091028,0.007173827383667231,0.002107080537825823,0.015517721883952618
45.0,45.0,90.0,73,0.007790966425091028,0.007173827383667231,0.002107080537825823,0.015517721883952618
-180.0,135.0,45.0,73,0.007949508726596832,0.008065509609878063,0.0015734659973531961,0.009218795225024223
0.0,45.0,-135.0,73,0.007949508726596832,0.008065509609878063,0.0015734659973531961,0.009218795225024223
180.0,135.0,45.0,73,0.007949508726596832,0.008065509609878063,0.0015734659973531961,0.009218795225024223
-45.0,135.0,-90.0,73,0.008233627304434776,0.0076684230007231236,0.002653942909091711,0.013672763481736183
135.0,45.0,90.0,73,0.008233627304434776,0.0076684230007231236,0.002653942909091711,0.013672763481736183
-45.0,0.0,-45.0,73,0.008540717884898186,0.008427058346569538,0.0017421841621398926,0.015027041547000408
135.0,-180.0,135.0,73,0.008540717884898186,0.008427058346569538,0.0017421841621398926,0.015027041547000408
135.0,180.0,135.0,73,0.008540717884898186,0.008427058346569538,0.0017421841621398926,0.015027041547000408
-45.0,135.0,180.0,73,0.008551711216568947,0.008513259701430798,0.002417729003354907,0.011827312409877777
135.0,45.0,0.0,73,0.008551711216568947,0.008513259701430798,0.002417729003354907,0.011827312409877777
45.0,45.0,-180.0,73,0.008555852808058262,0.008445735089480877,0.001583387260325253,0.014326912350952625
-135.0,135.0,0.0,73,0.008582727052271366,0.00839441642165184,0.0017179995775222778,0.014326912350952625
45.0,45.0,180.0,73,0.008582727052271366,0.00839441642165184,0.0017179995775222778,0.014326912350952625
-45.0,135.0,-135.0,73,0.008614831604063511,0.008159180171787739,0.002631169743835926,0.01388249360024929
135.0,45.0,45.0,73,0.008614831604063511,0.008159180171787739,0.002631169743835926,0.01388249360024929
-45.0,135.0,-180.0,73,0.008729804307222366,0.008617662824690342,0.002267939504235983,0.011827312409877777
-135.0,45.0,-180.0,73,0.00883910246193409,0.009511292912065983,0.0029253135435283184,0.009648803621530533
-135.0,45.0,180.0,73,0.00890215951949358,0.009511291980743408,0.0028280916158109903,0.009648803621530533
45.0,135.0,0.0,73,0.00890215951949358,0.009511291980743408,0.0028280916158109903,0.009648803621530533
-135.0,135.0,-45.0,73,0.008920938707888126,0.008307968266308308,0.0021666574757546186,0.016941700130701065
45.0,45.0,135.0,73,0.008920938707888126,0.008307968266308308,0.0021666574757546186,0.016941700130701065
135.0,135.0,-180.0,73,0.008964551612734795,0.009003804065287113,0.001651700004003942,0.012218138203024864
